DateTime,Website Name,URL,Status,Ping (ms),HTTP Time (ms),DNS Time (ms),Content Size (KB),Redirects,Keyword Check,SSL Days Left,SSL Expiry Date,Domain Days Left,Domain Expiry Date,Notes
2025-10-03T09:56:22.033148+00:00,CAMPA Odisha,https://campa.odisha.gov.in/,Up,Failed,421.82,32.12,55.88,0,Pass,61,2025-12-04T04:57:50+00:00,66,2025-12-09T05:23:30.769000+00:00,
2025-10-03T09:56:25.759954+00:00,Kendu Leaves Portal,https://kenduleaves.odisha.gov.in/,Up,Failed,547.03,3.98,48.95,0,Pass,46,2025-11-18T11:19:02+00:00,66,2025-12-09T05:23:30.769000+00:00,
2025-10-03T09:56:29.345596+00:00,Odisha Forest Main Portal,https://odishaforest.in/,Up,156.07,1198.64,92.7,105.88,0,Pass,47,2025-11-19T22:20:58+00:00,340,2026-09-08T10:11:59.302000+00:00,
2025-10-03T09:56:32.796699+00:00,Wildlife Anukampa,https://www.odwlanukampa.in/index.php/home/applications,Up,N/A,1652.13,26.82,62.32,0,Pass,64,2025-12-06T17:57:23+00:00,67,2025-12-10T08:22:51.100000+00:00,
2025-10-03T09:56:36.870024+00:00,Odisha Bamboo,https://www.odishabamboo.org/,Up,5.44,444.88,129.96,61.7,0,Pass,38,2025-11-11T00:10:00+00:00,169,2026-03-21T11:20:19+00:00,
2025-10-03T09:56:39.134954+00:00,OFS Disposition List (HRD),https://odishaforest.in/hrd/ofs-disposition-list-sb,Up,N/A,1359.44,3.62,219.24,0,Pass,47,2025-11-19T22:20:58+00:00,340,2026-09-08T10:11:59.302000+00:00,
2025-10-03T09:56:42.060033+00:00,TT Permit Odisha,https://www.ttpermitodisha.in/,Up,87.63,1822.29,3.34,31.02,0,Pass,57,2025-11-30T00:03:57+00:00,338,2026-09-07T08:34:32.369000+00:00,
2025-10-03T09:58:56.738803+00:00,Forest GIS (OFMS),https://odishaforestgis.in/ofms/,Up,Failed,547.42,58.97,5.59,0,Pass,86,2025-12-29T04:05:01+00:00,260,2026-06-21T07:31:59.451000+00:00,
2025-10-03T09:59:01.384545+00:00,SMPB Odisha,https://smpbodisha.in/,Up,107.5,1559.82,82.32,63.49,0,Pass,82,2025-12-25T02:57:27+00:00,304,2026-08-04T04:59:15.992000+00:00,
2025-10-03T09:59:06.160691+00:00,CAMPA Odisha,https://campa.odisha.gov.in/,Up,Failed,360.18,3.53,55.88,0,Pass,61,2025-12-04T04:57:50+00:00,66,2025-12-09T05:23:30.769000+00:00,
2025-10-03T09:59:09.777653+00:00,Kendu Leaves Portal,https://kenduleaves.odisha.gov.in/,Up,Failed,570.58,2.96,48.95,0,Pass,46,2025-11-18T11:19:02+00:00,66,2025-12-09T05:23:30.769000+00:00,
2025-10-03T09:59:13.598123+00:00,Odisha Forest Main Portal,https://odishaforest.in/,Up,186.41,1487.59,2.67,105.88,0,Pass,47,2025-11-19T22:20:58+00:00,340,2026-09-08T10:11:59.302000+00:00,
2025-10-03T09:59:17.404145+00:00,Wildlife Anukampa,https://www.odwlanukampa.in/index.php/home/applications,Up,N/A,1536.51,3.17,62.32,0,Pass,64,2025-12-06T17:57:23+00:00,67,2025-12-10T08:22:51.100000+00:00,
2025-10-03T09:59:21.661978+00:00,Odisha Bamboo,https://www.odishabamboo.org/,Up,6.65,633.87,274.95,61.7,0,Pass,38,2025-11-11T00:10:00+00:00,169,2026-03-21T11:20:19+00:00,
